id,username,tweet,date,retweets
1265295780400836612,KobysaurusRex,"Gotta love when the weather has me in so much pain, and my brain is so foggy, my brain doesn’t have enough energy to be too depressed",2020-05-26 14:56:36+00:00,0
1265295779259977731,SunnyLusty,"@cgidubai @IndembAbuDhabi Sirs, For God Sake Pls Help Us, We 2 brothers Stuck in Dubai since 74days, Job gone, In distress, depressed &amp; Desperate, Registration was done on 29/04/2020 for Repatriation flight to Jaipur Pls Help Us Pls Save Us I AM BEGGING YOU ",2020-05-26 14:56:36+00:00,0
1265295769625640963,LaurenLee1992,"Sorry you are so uptight, confused, depressed and neurotic that you can't detect undisguised humor. Lighten up, Karen.",2020-05-26 14:56:34+00:00,0
1265295763107647488,DepressedStiffy,There is no low fat bacon Its fuckin pork belly,2020-05-26 14:56:32+00:00,0
1265295762159595521,cowbai,Jealous,2020-05-26 14:56:32+00:00,0
1265295734661922820,_bsperspective,"Just got the notification on my phone, I’m depressed like I really had a chance to win in the first place.. smh",2020-05-26 14:56:25+00:00,0
1265295708787298306,BRimshah,Summer last year was acc the one it acc makes me depressed ,2020-05-26 14:56:19+00:00,0
1265295703636471809,bnjs_94,Rendang mamak lo keasinan kali,2020-05-26 14:56:18+00:00,0
1265295692169347072,NEOCITYSAINT,I’m depressed and I hate studying,2020-05-26 14:56:15+00:00,0
1265295685831790597,katie_kat_kt,"""Get them depressed virgins out"", said the manager. ",2020-05-26 14:56:14+00:00,0
1265295663002238978,TheGreatAccuser,proud for what? what did she do that made you proud? fuck a depressed guy's friend who gave her a career and 5 other dudes? lmao,2020-05-26 14:56:08+00:00,0
1265295660217036805,_agD93,Baka di pa alam kung ano ba talaga true happiness at super depress.,2020-05-26 14:56:08+00:00,0
1265295654835957760,Feellingf,"Ptn 3: Scorpio: okay, we know how deep you are, but sometimes u are just assholes, it's not that deep. Sag: u change ur opinion every 2 s and can't sit on a chair for more then 3 second, and also big cheater Cap: cap are just nihilistic depressed senior on the inside",2020-05-26 14:56:06+00:00,0
1265295652164186113,allyhancock,I was heavily depressed for months and stopped working out. Got back in the gym today and have never been more dissapointed in myself for losing what I worked so hard on.,2020-05-26 14:56:06+00:00,0
1265295646732451841,DoctorMaejor,"Hast krdn ba xaweki bash u jsmeki xosh u hast krdn ba refreshing paiwandi ba zor nustn nia, chunka scientifically awayan salmandia ka zor nustnish dabta hoi hastkrdn ba fatiguability, yawning,depressed mood...etc. Lerada awa gringa ka ch katak basha bo xawtn,...",2020-05-26 14:56:04+00:00,0
